iter	MultiClass
0	1.070383084
1	1.04532731
2	1.025619165
3	1.00687793
4	0.9902822155
5	0.9762427468
6	0.9657391053
7	0.9551736818
8	0.946401274
9	0.9372938634
10	0.9294986038
11	0.9219412549
12	0.9159126901
13	0.9091981124
14	0.90420928
15	0.8988852853
16	0.8948138371
17	0.8910136826
18	0.8865397445
19	0.8824526684
20	0.8791045366
21	0.8760745172
22	0.8731197881
23	0.8689119933
24	0.8663329901
25	0.8635155632
26	0.8602469989
27	0.8577931519
28	0.8552079724
29	0.8519432368
30	0.8492543372
31	0.8467246395
32	0.8441198121
33	0.8426565267
34	0.8406916681
35	0.8387678713
36	0.836669001
37	0.8342749632
38	0.8325017734
39	0.8309041754
40	0.8288745777
41	0.8269252019
42	0.8254059486
43	0.8232948568
44	0.8214595319
45	0.81942517
46	0.817899542
47	0.8156069075
48	0.8132488045
49	0.8117014615
50	0.8099463491
51	0.8085700648
52	0.8071640397
53	0.8057928677
54	0.8042440691
55	0.8021698508
56	0.8004763246
57	0.7989086893
58	0.7973090487
59	0.7959251575
60	0.7941015331
61	0.7923151333
62	0.7906787674
63	0.7889151631
64	0.7875268069
65	0.7862487306
66	0.7852775043
67	0.7834792859
68	0.7824153576
69	0.7808130002
70	0.7786450746
71	0.7767715153
72	0.7743085982
73	0.7729312954
74	0.7709446832
75	0.7696389628
76	0.7682924626
77	0.7673917019
78	0.765404743
79	0.7634165992
80	0.7614447239
81	0.7600920865
82	0.7590105562
83	0.7572271078
84	0.7559380817
85	0.7542322253
86	0.7521180669
87	0.7511889428
88	0.7493723105
89	0.7480711638
90	0.7460511733
91	0.7449552722
92	0.743419972
93	0.7416931016
94	0.7395682847
95	0.7380712307
96	0.7362098466
97	0.7343838683
98	0.7329731509
99	0.7308716482
