iter	Passed	Remaining
0	130	12918
1	219	10751
2	362	11710
3	456	10945
4	534	10148
5	611	9577
6	684	9090
7	768	8840
8	832	8413
9	920	8283
10	991	8022
11	1078	7910
12	1168	7818
13	1268	7794
14	1357	7689
15	1448	7607
16	1579	7710
17	1665	7586
18	1744	7439
19	1830	7323
20	1916	7208
21	1988	7050
22	2064	6911
23	2149	6806
24	2224	6674
25	2301	6549
26	2378	6432
27	2464	6338
28	2542	6225
29	2615	6103
30	2693	5996
31	2780	5909
32	2856	5799
33	2929	5686
34	3007	5586
35	3091	5496
36	3175	5406
37	3254	5310
38	3333	5214
39	3399	5098
40	3483	5013
41	3568	4928
42	3648	4836
43	3721	4736
44	3789	4631
45	3870	4544
46	3952	4457
47	4047	4384
48	4126	4294
49	4202	4202
50	4301	4133
51	4387	4049
52	4466	3960
53	4540	3867
54	4619	3779
55	4704	3696
56	4771	3599
57	4846	3509
58	4924	3421
59	5005	3336
60	5086	3252
61	5163	3164
62	5231	3072
63	5312	2988
64	5394	2904
65	5478	2822
66	5557	2737
67	5640	2654
68	5717	2568
69	5797	2484
70	5883	2402
71	5955	2316
72	6028	2229
73	6102	2144
74	6185	2061
75	6276	1981
76	6362	1900
77	6445	1817
78	6554	1742
79	6653	1663
80	6731	1578
81	6790	1490
82	6859	1405
83	6915	1317
84	6972	1230
85	7027	1143
86	7085	1058
87	7137	973
88	7189	888
89	7250	805
90	7304	722
91	7359	639
92	7417	558
93	7474	477
94	7528	396
95	7582	315
96	7647	236
97	7700	157
98	7759	78
99	7813	0
